"No.","Time","Source","Destination","Protocol","Length","Info"
"124","2.358723","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=349 Ack=349 Win=10103 Len=0"
"125","2.358815","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans:  3574; Unit:   1, Func:   6: Write Single Register"
"126","2.358845","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=349 Ack=361 Win=10103 Len=0"
"127","2.389944","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans:  3574; Unit:   1, Func:   6: Write Single Register"
"128","2.389995","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=361 Ack=361 Win=10103 Len=0"
"129","2.390139","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 35483; Unit:   1, Func:   6: Write Single Register"
"130","2.390171","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=361 Ack=373 Win=10103 Len=0"
"131","2.421375","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 35483; Unit:   1, Func:   6: Write Single Register"
"132","2.421427","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=373 Ack=373 Win=10103 Len=0"
"133","2.421563","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 15990; Unit:   1, Func:   6: Write Single Register"
"134","2.421598","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=373 Ack=385 Win=10103 Len=0"
"135","2.452467","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 15990; Unit:   1, Func:   6: Write Single Register"
"136","2.452522","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=385 Ack=385 Win=10103 Len=0"
"137","2.452580","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 10850; Unit:   1, Func:   6: Write Single Register"
"138","2.452602","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=385 Ack=397 Win=10103 Len=0"
"139","2.483699","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 10850; Unit:   1, Func:   6: Write Single Register"
"140","2.483758","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=397 Ack=397 Win=10103 Len=0"
"141","2.483825","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 36022; Unit:   1, Func:   6: Write Single Register"
"142","2.483848","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=397 Ack=409 Win=10103 Len=0"
"143","2.514972","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 36022; Unit:   1, Func:   6: Write Single Register"
"144","2.515022","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=409 Ack=409 Win=10103 Len=0"
"145","2.515128","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans:  9916; Unit:   1, Func:   6: Write Single Register"
"146","2.515153","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=409 Ack=421 Win=10103 Len=0"
"147","2.546198","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans:  9916; Unit:   1, Func:   6: Write Single Register"
"148","2.546249","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=421 Ack=421 Win=10103 Len=0"
"149","2.546362","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans:  5652; Unit:   1, Func:   6: Write Single Register"
"150","2.546390","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=421 Ack=433 Win=10103 Len=0"
